Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
tnaB	b3709	3890236	3891483	tryptophan:H+ symporter TnaB	Regulation of tnaB by DNA-binding transcriptional dual regulator Nac	amino acid transport // aromatic amino acid transport // tryptophan catabolic process // amino acid transmembrane transport	tnaAB // tnaCAB	EG11006		tnaAB // tnaCAB
arrS	b4704	3657985	3658054	small regulatory RNA ArrS		positive regulation of cytoplasmic translation // cellular stress response to acid chemical	arrS // arrS	G0-10694		arrS // arrS
wecH	b3561	3725887	3726882	<i>O</i>-acetyltransferase WecH		enterobacterial common antigen biosynthetic process	wecH	EG12274		wecH
trpL	b1265	1323038	1323082	<i>trp</i> operon leader peptide		aromatic amino acid family biosynthetic process // amino acid biosynthetic process // tryptophan biosynthetic process // regulation of tryptophan metabolic process	trpL // trpLEDCBA	EG11274		trpL // trpLEDCBA
yeeH	b4639	2066068	2066154					G0-16658		
gspI	b3330	3461974	3462351	type II secretion system protein GspI		protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7708		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
trpD	b1263	1319789	1321384	anthranilate synthase subunit TrpD		organonitrogen compound biosynthetic process // cellular biosynthetic process // phenazine biosynthetic process // aromatic amino acid family biosynthetic process // amino acid biosynthetic process // metabolic process // glutamine metabolic process // tryptophan biosynthetic process	trpLEDCBA	EG11027	L-glutamine degradation I // L-glutamate biosynthesis I // ammonia assimilation cycle III // superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	trpLEDCBA
waaO	b3627	3802039	3803058	UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase		lipopolysaccharide biosynthetic process // lipopolysaccharide core region biosynthetic process	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11352	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // lipid A-core biosynthesis (<i>E. coli</i> K-12)	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU
trpA	b1260	1316416	1317222	tryptophan synthase subunit &alpha;		aromatic amino acid family biosynthetic process // amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process	trpCBA // trpLEDCBA	EG11024	superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	trpCBA // trpLEDCBA
yfbS	b2292	2409520	2411352	putative transporter YfbS		monoatomic cation transmembrane transport // transmembrane transport // potassium ion transport	yfbS	G7186		yfbS
aroH	b1704	1788435	1789481	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive		biosynthetic process // chorismate biosynthetic process // aromatic amino acid family biosynthetic process // amino acid biosynthetic process	aroH // aroH	EG10080	superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tyrosine biosynthesis // chorismate biosynthesis I // 3-dehydroquinate biosynthesis I	aroH // aroH
ybfQ	b4514	736445	736699	inactive transposase YbfQ			ybfQ	G0-10440		ybfQ
waaJ	b3626	3800983	3801999	UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase		lipopolysaccharide biosynthetic process // lipopolysaccharide core region biosynthetic process	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11353	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // lipid A-core biosynthesis (<i>E. coli</i> K-12)	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU
trpE	b1264	1321384	1322946	anthranilate synthase subunit TrpE		organic substance biosynthetic process // cellular biosynthetic process // metabolic process // aromatic amino acid family biosynthetic process // biosynthetic process // amino acid biosynthetic process // tryptophan biosynthetic process	trpLEDCBA	EG11028	L-glutamine degradation I // L-glutamate biosynthesis I // ammonia assimilation cycle III // superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	trpLEDCBA
yafF	b4503	239190	239378	putative uncharacterized protein YafF			yafF	G0-10431		yafF
yidE	b3685	3864612	3866273	putative transport protein YidE		transmembrane transport // monoatomic cation transmembrane transport // potassium ion transport	yidE	EG11536		yidE
trpB	b1261	1317222	1318415	tryptophan synthase subunit &beta;		aromatic amino acid family biosynthetic process // amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process	trpCBA // trpLEDCBA	EG11025	superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	trpCBA // trpLEDCBA
kbp	b2665	2796337	2796786	K<sup>+</sup> binding protein		response to potassium ion	yqaE-kbp // kbp	G7395		yqaE-kbp // kbp
mtr	b3161	3304573	3305817	tryptophan:H<sup>+</sup> symporter Mtr	Regulation of mtr by DNA-binding transcriptional dual regulator Lrp // Regulation of mtr by DNA-binding transcriptional dual regulator Lrp	amino acid transport // amino acid transmembrane transport // aromatic amino acid transport // tryptophan transport	mtr // mtr	EG10617		mtr // mtr
yfeH	b2410	2526946	2527944	putative solute:Na<sup>+</sup> symporter		transmembrane transport	yfeH	EG12376		yfeH
nadD	b0639	669931	670572	nicotinate-nucleotide adenylyltransferase	Regulation of nadD by DNA-binding transcriptional dual regulator Nac	nucleotide biosynthetic process // pyridine nucleotide biosynthetic process // NAD biosynthetic process // biosynthetic process // 'de novo' NAD biosynthetic process from aspartate // NAD salvage	leuS-lptE-holA-nadD-cobC	G6350	aspartate superpathway // NAD <i>de novo</i> biosynthesis I // NAD salvage pathway I (PNC VI cycle) // NAD salvage pathway II (PNC IV cycle)	leuS-lptE-holA-nadD-cobC
yecE	b1868	1951395	1952213	DUF72 domain-containing protein YecE	Regulation of yecE by DNA-binding transcriptional dual regulator Nac		yecDE	EG12379		yecDE
osmB	b1283	1343110	1343328	osmotically-inducible lipoprotein OsmB	Regulation of osmB by DNA-binding transcriptional dual regulator Nac	response to osmotic stress	osmB // osmB // osmB	EG10679		osmB // osmB // osmB
gmd	b2053	2127193	2128314	GDP-mannose 4,6-dehydratase		GDP-mannose metabolic process // 'de novo' GDP-L-fucose biosynthetic process // colanic acid biosynthetic process	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	EG11787	colanic acid building blocks biosynthesis // GDP-L-fucose biosynthesis I (from GDP-D-mannose)	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC
nmpC	b0553			DLP12 prophage; putative outer membrane porin NmpC		monoatomic ion transmembrane transport // monoatomic ion transport	nmpC	EG10659		nmpC
gspC	b3324	3455578	3456393	type II secretion system protein GspC		protein transport // protein secretion by the type II secretion system	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7702		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
nadE	b1740	1822458	1823285	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase		NAD biosynthetic process // DNA damage response // 'de novo' NAD biosynthetic process from aspartate // NAD salvage	nadE	EG10663	aspartate superpathway // NAD <i>de novo</i> biosynthesis I // NAD salvage pathway I (PNC VI cycle) // NAD salvage pathway II (PNC IV cycle)	nadE
yggT	b2952	3095820	3096386	uncharacterized protein YggT		cellular hyperosmotic response	yggSTU-rdgB-hemW	G7528		yggSTU-rdgB-hemW
pncC	b2700	2823849	2824346	NMN aminohydrolase		pyridine nucleotide biosynthetic process	pncC	G7409	NAD salvage pathway II (PNC IV cycle)	pncC
yohK	b2142	2231019	2231714	putative 3-hydroxypropanoate export protein YohK			yohJK	EG12024		yohJK
nadK	b2615	2750831	2751709	NAD kinase		NAD metabolic process // phosphorylation // NADP biosynthetic process	nadK	EG12192	NAD phosphorylation and dephosphorylation	nadK
yhjG	b3524	3676290	3678350	AsmA family protein YhjG		regulation of protein targeting to membrane	yhjG	EG12251		yhjG
ecnA	b4410	4376317	4376442	entericidin A lipoprotein, antidote to entericidin B	Regulation of ecnA by DNA-binding transcriptional dual regulator Nac	response to toxic substance	ecnAB	G0-41		ecnAB
pncB	b0931	989154	990356	nicotinate phosphoribosyltransferase	Regulation of pncB by DNA-binding transcriptional dual regulator Lrp // Regulation of pncB by DNA-binding transcriptional dual regulator ArcA-phosphorylated	NAD salvage // pyridine nucleotide biosynthetic process // response to heat // NAD biosynthetic process	pncB	EG10742	NAD salvage pathway I (PNC VI cycle)	pncB
intQ	b1579	1651512	1652708	Qin prophage; putative defective integrase			dicB-ydfDE-insD-intQ	G6837		dicB-ydfDE-insD-intQ
yjiJ	b4332	4561497	4562675	putative transporter YjiJ			yjiJ	G7929		yjiJ
nadA	b0750	782085	783128	quinolinate synthase		quinolinate biosynthetic process // pyridine nucleotide biosynthetic process // NAD biosynthetic process // 'de novo' NAD biosynthetic process from aspartate	nadAp // pnuC // nadA	EG10630	aspartate superpathway // NAD <i>de novo</i> biosynthesis I	nadAp // pnuC // nadA
osmC	b1482	1556625	1557056	osmotically inducible peroxiredoxin OsmC		cellular oxidant detoxification // hyperosmotic response // response to hydroperoxide // response to oxidative stress	osmC // osmC	EG10680		osmC // osmC
feaB	b1385	1447519	1449018	phenylacetaldehyde dehydrogenase	Regulation of feaB by DNA-binding transcriptional dual regulator Nac	4-nitrophenol catabolic process // NAD biosynthetic process // L-phenylalanine catabolic process // phenylethylamine catabolic process	feaB // feaB	G7961	superpathway of phenylethylamine degradation // phenylethylamine degradation I	feaB // feaB
ycfT	b1115	1174092	1175165	inner membrane protein YcfT		enterobacterial common antigen biosynthetic process	ycfT	G6572		ycfT
nadC	b0109	117752	118645	quinolinate phosphoribosyltransferase (decarboxylating)	Regulation of nadC by DNA-binding transcriptional dual regulator Nac	quinolinate catabolic process // pyridine nucleotide biosynthetic process // NAD biosynthetic process // 'de novo' NAD biosynthetic process from aspartate	nadC	EG11546	aspartate superpathway // NAD <i>de novo</i> biosynthesis I	nadC
yehI	b2118	2200279	2203911	DUF4132 domain-containing protein YehI			yehHI	EG11995		yehHI
osmY	b4376	4611396	4612001	periplasmic chaperone OsmY	Regulation of osmY by DNA-binding transcriptional dual regulator Nac // Regulation of osmY by DNA-binding transcriptional dual regulator Lrp // Regulation of osmY by DNA-binding transcriptional dual regulator Lrp // Regulation of osmY by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of osmY by DNA-binding transcriptional dual regulator ArcA-phosphorylated	response to osmotic stress // hyperosmotic response // chaperone-mediated protein folding	osmY // osmY	EG11391		osmY // osmY
pncA	b1768	1851887	1852528	nicotinamidase		pyridine nucleotide biosynthetic process // pyridine nucleotide salvage	ansA-pncA	EG11135	NAD salvage pathway I (PNC VI cycle)	ansA-pncA
yjhZ	b4657	4534430	4534675	KpLE2 phage-like element; putative acetyltransferase YjhZ				G0-16672		
tsuA	b2013	2084467	2085525	thiosulfate transporter	Regulation of tsuA by DNA-binding transcriptional dual regulator Lrp // Regulation of tsuA by DNA-binding transcriptional dual regulator Lrp	sulfate transport // thiosulfate transport	yeeED	EG11895		yeeED
nadB	b2574	2710420	2712042	L-aspartate oxidase		pyridine nucleotide biosynthetic process // NAD biosynthetic process // 'de novo' NAD biosynthetic process from aspartate	nadB	EG10631	aspartate superpathway // NAD <i>de novo</i> biosynthesis I	nadB
ecnB	b4411	4376553	4376699	bacteriolytic entericidin B lipoprotein	Regulation of ecnB by DNA-binding transcriptional dual regulator Nac	response to toxic substance	ecnB // ecnAB	G0-9562		ecnB // ecnAB
yhfT	b3377	3506032	3507336	uncharacterized protein YhfT			yhfXW-php-yhfUTS	G7729		yhfXW-php-yhfUTS
yihF	b3861	4044199	4045629	DUF945 domain-containing protein YihF			yihF	EG11832		yihF
yoeD	b4642	2078549	2078677					G0-16655		
ybjJ	b0845	886131	887339	inner membrane protein YbjJ		transmembrane transport	ybjJI	G6443		ybjJI
gspJ	b3331	3462344	3462931	type II secretion system protein GspJ		protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7709		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
ydeJ	b1537	1624773	1625291	PF02464 family protein YdeJ			ydeJ	EG11645		ydeJ
ddpX	b1488	1562495	1563076	D-alanyl-D-alanine dipeptidase		cell wall organization // proteolysis // response to starvation	ddpXABCDF // ddpXABCDF // ddpXABCDF	G6782		ddpXABCDF // ddpXABCDF // ddpXABCDF
ftsH	b3178	3325001	3326935	ATP-dependent zinc metalloprotease FtsH		protein catabolic process // proteolysis	rlmE-ftsH // rlmE-ftsH	EG11506		rlmE-ftsH // rlmE-ftsH
agaA	b3135	3281122	3281625	putative truncated N-acetylgalactosamine-6-phosphate deacetylase			kbaZ-agaVWA	EG12766		kbaZ-agaVWA
ybbY	b0513	540565	541866	putative purine transporter		xanthine transport // transmembrane transport	ybbY-glxK // gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	G6282		ybbY-glxK // gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
ompT	b0565	584680	585633	DLP12 prophage; omptin family outer membrane protease OmpT	Regulation of ompT by DNA-binding transcriptional dual regulator Lrp // Regulation of ompT by DNA-binding transcriptional dual regulator Nac	proteolysis	ompT // envY-ompT	EG10673		ompT // envY-ompT
ldcA	b1192	1242166	1243080	murein tetrapeptide carboxypeptidase		cell wall organization // proteolysis // peptidoglycan biosynthetic process // regulation of cell shape // peptidoglycan turnover	ldcA	G6621	muropeptide degradation // peptidoglycan recycling I	ldcA
gspG	b3328	3461023	3461460	type II secretion system protein GspG	Regulation of gspG by DNA-binding transcriptional dual regulator Nac	protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7706		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
gspO	b3335	3465543	3466220	type II secretion system prepilin peptidase	Regulation of gspO by DNA-binding transcriptional dual regulator Nac	signal peptide processing // proteolysis	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	EG11359		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
yjeT	b4176	4404386	4404583	DUF2065 domain-containing protein YjeT			yjeT	G7844		yjeT
hflK	b4174	4402038	4403297	regulator of FtsH protease		response to heat	tsaE-amiB-mutL-miaA-hfq-hflXKC // hfq-hflXKC // hfq-hflXKC // miaA-hfq-hflXKC // miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC	EG10436		tsaE-amiB-mutL-miaA-hfq-hflXKC // hfq-hflXKC // hfq-hflXKC // miaA-hfq-hflXKC // miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC
yddJ	b1470	1544384	1544719	uncharacterized protein YddJ			yddLKJ	G6771		yddLKJ
yegH	b2063	2137902	2139485	inner membrane protein YegH	Regulation of yegH by DNA-binding transcriptional dual regulator Nac		yegH	G7108		yegH
amiD	b0867	904913	905743	<i>N</i>-acetylmuramoyl-L-alanine amidase D		peptidoglycan turnover // cell wall organization // peptidoglycan catabolic process	ybjQ-amiD	G6452	peptidoglycan recycling I	ybjQ-amiD
sppA	b1766	1848837	1850693	protease IV, a signal peptide peptidase		signal peptide processing // proteolysis	sppA	EG10968	lipoprotein posttranslational modification (Gram-negative bacteria)	sppA
ykgG	b0308	323758	324453	DUF162 domain-containing lactate utilization protein YkgG			ykgEFG	G6178		ykgEFG
yigG	b3818	4002813	4003193	inner membrane protein	Regulation of yigG by DNA-binding transcriptional repressor GlaR		yigGF	EG11465		yigGF
dcp	b1538	1625335	1627380	peptidyl-dipeptidase Dcp		proteolysis	dcp	EG10212		dcp
mltC	b2963	3104433	3105512	membrane-bound lytic murein transglycosylase C	Regulation of mltC by small regulatory RNA GcvB	cell wall organization // peptidoglycan metabolic process // cell wall macromolecule catabolic process // cell division // peptidoglycan catabolic process // cellular response to antibiotic // cellular response to oxidative stress	mutY-yggX-mltC // yggX-mltC // mutY-yggX-mltC // yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG	G7533	peptidoglycan recycling I	mutY-yggX-mltC // yggX-mltC // mutY-yggX-mltC // yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG
lafU	b0230	250072	250827	flagellar system protein, promoterless fragment			lafU	G6114		lafU
gspD	b3325	3456377	3458329	type II secretion system protein GspD		protein secretion by the type II secretion system // protein secretion // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7703		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
ptrA	b2821	2955996	2958884	protease 3	Regulation of ptrA by DNA-binding transcriptional dual regulator Nac	proteolysis	ptrA-recBD // ptrA	EG10786		ptrA-recBD // ptrA
clpA	b0882	923264	925540	ATP-dependent Clp protease ATP-binding subunit ClpA		protein quality control for misfolded or incompletely synthesized proteins // cellular response to heat // protein unfolding // response to oxidative stress // proteolysis	clpA // clpA // clpA	EG10156		clpA // clpA // clpA
leuE	b1798	1880121	1880759	leucine exporter	Regulation of leuE by DNA-binding transcriptional dual regulator Lrp	transmembrane transport // L-alpha-amino acid transmembrane transport // amino acid transport // leucine transport	leuE	G6984		leuE
yrdD	b3283	3431420	3431962	putative DNA topoisomerase	Regulation of yrdD by DNA-binding transcriptional activator ZraR-phosphorylated	DNA topological change	yrdD-rimN-aroE-yrdB	G7699		yrdD-rimN-aroE-yrdB
hslU	b3931	4120416	4121747	ATPase component of the HslVU protease		proteolysis involved in protein catabolic process // protein denaturation // cellular response to heat // positive regulation of proteasomal protein catabolic process // proteolysis // response to heat // protein unfolding	hslVU	EG11881		hslVU
pepP	b2908	3053515	3054840	Xaa-Pro aminopeptidase		proteolysis // protein homotetramerization	ygfB-pepP-ubiHI	EG10697		ygfB-pepP-ubiHI
yicT	b4653	3836425	3836556					G0-16669		
gspM	b3334	3465082	3465543	type II secretion system protein GspM	Regulation of gspM by DNA-binding transcriptional dual regulator Nac	protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	EG12173		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
